author;author_type;url;location;deal_type;accommodation_type;suburban_type;price;district;underground;street;house_number
ID 13444418;unknown;https://nn.cian.ru/sale/suburban/302919866/;Нижний Новгород;sale;suburban;house;250000;р-н Нижегородский;;;
Чекни;real_estate_agent;https://nn.cian.ru/sale/suburban/283342989/;Нижний Новгород;sale;suburban;house;290000;р-н Московский;;;
ID 27018970;homeowner;https://nn.cian.ru/sale/suburban/294215790/;Нижний Новгород;sale;suburban;house;350000;р-н Московский;;улица Главная;
ВолгаЖилСтрой;real_estate_agent;https://nn.cian.ru/sale/suburban/271064578/;Нижний Новгород;sale;suburban;house;400000;р-н Нижегородский;;;
ЭКСПЕРТ;real_estate_agent;https://nn.cian.ru/sale/suburban/287355656/;Нижний Новгород;sale;suburban;house;500000;р-н Советский;;мкр. проспект Гагарина;
Чекни;real_estate_agent;https://nn.cian.ru/sale/suburban/279415859/;Нижний Новгород;sale;suburban;house;500000;р-н Приокский;;;
ID 21840612;realtor;https://nn.cian.ru/sale/suburban/289061277/;Нижний Новгород;sale;suburban;house;550000;р-н Советский;м. Горьковская;;
Император;real_estate_agent;https://nn.cian.ru/sale/suburban/295106167/;Нижний Новгород;sale;suburban;house;550000;р-н Московский;;улица Главная;
ID 37288180;unknown;https://nn.cian.ru/sale/suburban/300961167/;Нижний Новгород;sale;suburban;house;569000;р-н Советский;м. Горьковская;;
Монолит;real_estate_agent;https://nn.cian.ru/sale/suburban/292808341/;Нижний Новгород;sale;suburban;house;590000;р-н Приокский;;;
ID 112277237;homeowner;https://nn.cian.ru/sale/suburban/297361744/;Нижний Новгород;sale;suburban;house;600000;р-н Канавинский;;;
ID 112275678;homeowner;https://nn.cian.ru/sale/suburban/297359757/;Нижний Новгород;sale;suburban;house;600000;р-н Московский;;;
Монолит;real_estate_agent;https://nn.cian.ru/sale/suburban/272879928/;Нижний Новгород;sale;suburban;house;600000;р-н Автозаводский;;;
ID 13785506;homeowner;https://nn.cian.ru/sale/suburban/302471018/;Нижний Новгород;sale;suburban;house;650000;р-н Приокский;м. Автозаводская;;
ID 6925594;realtor;https://nn.cian.ru/sale/suburban/302755479/;Нижний Новгород;sale;suburban;house;650000;р-н Московский;м. Бурнаковская;;
ID 114114089;homeowner;https://nn.cian.ru/sale/suburban/299428549/;Нижний Новгород;sale;suburban;house;660000;р-н Приокский;м. Автозаводская;;
Любимый город;real_estate_agent;https://nn.cian.ru/sale/suburban/301113013/;Нижний Новгород;sale;suburban;house;700000;р-н Автозаводский;;;
Владис;real_estate_agent;https://nn.cian.ru/sale/suburban/299340995/;Нижний Новгород;sale;suburban;house;700000;р-н Автозаводский;;;
ID 103248500;homeowner;https://nn.cian.ru/sale/suburban/287553264/;Нижний Новгород;sale;suburban;house;750000;р-н Приокский;;;
Дом-Риэлти;real_estate_agent;https://nn.cian.ru/sale/suburban/269928163/;Нижний Новгород;sale;suburban;house;750000;р-н Нижегородский;;Деловая улица;
Самолет плюс на Коминтерна;real_estate_agent;https://nn.cian.ru/sale/suburban/301164953/;Нижний Новгород;sale;suburban;house;760000;р-н Московский;;;
ВолгаЖилСтрой;real_estate_agent;https://nn.cian.ru/sale/suburban/301966746/;Нижний Новгород;sale;suburban;house;800000;р-н Московский;;;
ID 114188043;homeowner;https://nn.cian.ru/sale/suburban/299739858/;Нижний Новгород;sale;suburban;house;830000;р-н Сормовский;м. Буревестник;;
Анжелика Воронкова;realtor;https://nn.cian.ru/sale/suburban/291881538/;Нижний Новгород;sale;suburban;house;880000;р-н Московский;м. Парк культуры;;
Этажи Нижний Новгород;real_estate_agent;https://nn.cian.ru/sale/suburban/299905859/;Нижний Новгород;sale;suburban;house;900000;р-н Советский;;улица Агатовая;
Этажи Нижний Новгород;real_estate_agent;https://nn.cian.ru/sale/suburban/302419747/;Нижний Новгород;sale;suburban;house;999000;р-н Сормовский;;;
Владимир Вахнин;realtor;https://nn.cian.ru/sale/suburban/297506010/;Нижний Новгород;sale;suburban;house;1000000;р-н Приокский;м. Горьковская;;
ID 71578948;homeowner;https://nn.cian.ru/sale/suburban/294935161/;Нижний Новгород;sale;suburban;house;1000000;р-н Московский;;;
